platform;kind;username;url;sources_count;matched_terms;is_mutual_related;source_pages;source_type;confidence
telegram;community;activitylablike;https://t.me/activitylablike;1;взаим, актив, лайк, инстаграм;YES;telegram-store search result;manual_inferred;high
telegram;community;aktivnosti_chat;https://t.me/aktivnosti_chat;1;взаим, актив, лайк, инстаграм;YES;websearch snippet;manual_inferred;high
telegram;community;chataktiva_insta;https://t.me/chataktiva_insta;1;взаим, актив, лайк, инстаграм;YES;telegram-store search result;manual_inferred;high
telegram;community;in4at;https://t.me/in4at;1;взаим, актив, лайк, инстаграм;YES;telegram-store search result;manual_inferred;high
telegram;community;instachat6;https://t.me/instachat6;1;актив, инстаграм;YES;websearch snippet;manual_inferred;high
telegram;community;instapr777;https://t.me/instapr777;1;взаим, актив, лайк, инстаграм;YES;telegram-store search result;manual_inferred;high
telegram;community;aleks_storiesinsta;https://t.me/aleks_storiesinsta;1;актив, инстаграм, инста;YES;https://ru.telegram-store.com/catalog/chats/inst_activ_ru;auto_extracted;medium
telegram;community;ashomaban;https://t.me/ashomaban;1;актив, инстаграм, инста;YES;https://ru.telegram-store.com/catalog/chats/inst_activ_ru;auto_extracted;medium
telegram;community;creators;https://t.me/creators;1;актив, лайк, коммент, instagram, инстаграм, инста;YES;https://smmplanner.com/blog/rukovodstvo-po-chatam-aktivnosti-v-instaghramie/;auto_extracted;medium
telegram;community;FindYourChannelBot;https://t.me/FindYourChannelBot;1;актив, инстаграм, инста;YES;https://ru.telegram-store.com/catalog/chats/inst_activ_ru;auto_extracted;medium
telegram;community;inst_activ_ru;https://t.me/inst_activ_ru;1;взаим, актив, instagram, инстаграм, инста;YES;https://ru.telegram-store.com/catalog/chats/inst_activ_ru;auto_extracted;medium
telegram;community;lemonandmarketing;https://t.me/lemonandmarketing;1;актив, инстаграм, инста;YES;https://ru.telegram-store.com/catalog/chats/inst_activ_ru;auto_extracted;medium
telegram;community;llina_mi;https://t.me/llina_mi;1;актив, инстаграм, инста;YES;https://ru.telegram-store.com/catalog/chats/inst_activ_ru;auto_extracted;medium
telegram;community;mornuir;https://t.me/mornuir;1;актив, лайк, коммент, instagram, инстаграм, инста;YES;https://smmplanner.com/blog/rukovodstvo-po-chatam-aktivnosti-v-instaghramie/;auto_extracted;medium
telegram;community;pravila_inst;https://t.me/pravila_inst;1;взаим, актив, instagram, инстаграм, инста;YES;https://ru.telegram-store.com/catalog/chats/inst_activ_ru;auto_extracted;medium
telegram;community;ternyuk;https://t.me/ternyuk;1;взаим, актив, instagram, инстаграм, инста;YES;https://ru.telegram-store.com/catalog/chats/inst_activ_ru;auto_extracted;medium
telegram;community;tryghost;https://t.me/tryghost;1;актив, инстаграм, инста;YES;https://smmplanner.com/blog/rukovodstvo-po-chatam-aktivnosti-v-instaghramie/;auto_extracted;medium
telegram;community;actinstachat;https://t.me/actinstachat;1;актив, инста;YES;niksolovov article mention;manual_inferred;medium
telegram;community;activitylabchat;https://t.me/activitylabchat;1;взаим, актив, лайк, инстаграм;YES;activitylab description;manual_inferred;medium
telegram;community;aktivnosty_chat;https://t.me/aktivnosty_chat;1;актив, инстаграм;YES;niksolovov article mention;manual_inferred;medium
telegram;community;chataktivnosti;https://t.me/chataktivnosti;1;чат, актив;YES;niksolovov article mention;manual_inferred;medium
telegram;community;instals20;https://t.me/instals20;1;инста, лайк;YES;websearch snippet;manual_inferred;medium
telegram;community;likechat12up;https://t.me/likechat12up;1;взаим, актив, лайк, инстаграм;YES;activitylab description;manual_inferred;medium
telegram;community;likechatorange;https://t.me/likechatorange;1;взаим, актив, лайк, инстаграм;YES;activitylab description;manual_inferred;medium
telegram;community;likelab;https://t.me/likelab;1;взаим, актив, лайк, инстаграм;YES;activitylab description;manual_inferred;medium
telegram;community;lkschatactiv;https://t.me/lkschatactiv;1;взаим, актив, лайк, инстаграм;YES;activitylab description;manual_inferred;medium
telegram;community;Panda_5up;https://t.me/Panda_5up;1;инстаграм;YES;niksolovov article mention;manual_inferred;medium
telegram;community;podpiskaactiv;https://t.me/podpiskaactiv;1;взаим, актив, лайк, инстаграм;YES;activitylab description;manual_inferred;medium
telegram;community;Topnonstopp;https://t.me/Topnonstopp;1;инстаграм;YES;niksolovov article mention;manual_inferred;medium
telegram;community;Toptoptoptop11;https://t.me/Toptoptoptop11;1;инстаграм;YES;niksolovov article mention;manual_inferred;medium
telegram;community;vzaimno_insta_gram;https://t.me/vzaimno_insta_gram;1;взаим, инста;YES;websearch snippet;manual_inferred;medium
