username,url,title,description,participants,matched_instagram_terms,matched_mutual_terms,matched_non_instagram_terms,is_mutual_activity,is_instagram_only,is_match,source_pages
engagementgroupsforinstagram,https://t.me/engagementgroupsforinstagram,engagementgroupsforinstagram,Parsed from source pages (Telegram preview unavailable).,,"instagram, insta",engagement,,True,True,True,https://t.me/engagementgroupsforinstagram
engagementgroupsIG,https://t.me/engagementgroupsIG,engagementgroupsIG,Parsed from source pages (Telegram preview unavailable).,,ig,engagement,,True,True,True,https://t.me/engagementgroupsIG
igmasslikes,https://t.me/igmasslikes,igmasslikes,Parsed from source pages (Telegram preview unavailable).,,ig,likes,,True,True,True,https://t.me/igmasslikes
NsmIGGroup,https://t.me/NsmIGGroup,NsmIGGroup,Parsed from source pages (Telegram preview unavailable).,,ig,,,True,True,True,https://t.me/NsmIGGroup
apocmarket,https://t.me/apocmarket,apocmarket,Parsed from source pages (Telegram preview unavailable).,,,,,False,False,False,https://t.me/apocmarket
beaversmarketplace,https://t.me/beaversmarketplace,beaversmarketplace,Parsed from source pages (Telegram preview unavailable).,,,,,False,False,False,https://t.me/beaversmarketplace
boostuppowerlikes,https://t.me/boostuppowerlikes,boostuppowerlikes,Parsed from source pages (Telegram preview unavailable).,,,likes,,True,False,False,https://t.me/boostuppowerlikes
elite_chat,https://t.me/elite_chat,elite_chat,Parsed from source pages (Telegram preview unavailable).,,,,,False,False,False,https://t.me/elite_chat
elitemarket,https://t.me/elitemarket,elitemarket,Parsed from source pages (Telegram preview unavailable).,,,,,False,False,False,https://t.me/elitemarket
engagementgroups,https://t.me/engagementgroups,engagementgroups,Parsed from source pages (Telegram preview unavailable).,,,engagement,,True,False,False,https://t.me/engagementgroups
igbst,https://t.me/igbst,igbst,Parsed from source pages (Telegram preview unavailable).,,ig,,,False,True,False,https://t.me/igbst
iggainzgrowthlist,https://t.me/iggainzgrowthlist,iggainzgrowthlist,Parsed from source pages (Telegram preview unavailable).,,ig,,,False,True,False,https://t.me/iggainzgrowthlist
instaempiremarket,https://t.me/instaempiremarket,instaempiremarket,Parsed from source pages (Telegram preview unavailable).,,insta,,,False,True,False,https://t.me/instaempiremarket
instagains100k,https://t.me/instagains100k,instagains100k,Parsed from source pages (Telegram preview unavailable).,,insta,,,False,True,False,https://t.me/instagains100k
instagains20k,https://t.me/instagains20k,instagains20k,Parsed from source pages (Telegram preview unavailable).,,insta,,,False,True,False,https://t.me/instagains20k
instagains50k,https://t.me/instagains50k,instagains50k,Parsed from source pages (Telegram preview unavailable).,,insta,,,False,True,False,https://t.me/instagains50k
instagramventuresmarket,https://t.me/instagramventuresmarket,instagramventuresmarket,Parsed from source pages (Telegram preview unavailable).,,"instagram, insta",,,False,True,False,https://t.me/instagramventuresmarket
MoneyMartOG,https://t.me/MoneyMartOG,MoneyMartOG,Parsed from source pages (Telegram preview unavailable).,,,,,False,False,False,https://t.me/MoneyMartOG
PUSHGROUPDX5,https://t.me/PUSHGROUPDX5,PUSHGROUPDX5,Parsed from source pages (Telegram preview unavailable).,,,dx,,True,False,False,https://t.me/PUSHGROUPDX5
successed,https://t.me/successed,successed,Parsed from source pages (Telegram preview unavailable).,,,,,False,False,False,https://t.me/successed
VGNCHAT,https://t.me/VGNCHAT,VGNCHAT,Parsed from source pages (Telegram preview unavailable).,,,,,False,False,False,https://t.me/VGNCHAT
VGNLIKES,https://t.me/VGNLIKES,VGNLIKES,Parsed from source pages (Telegram preview unavailable).,,,likes,,True,False,False,https://t.me/VGNLIKES
