Статус,Username,Ссылка,Instagram сигналы,Сигналы взаимности,Сигналы других платформ,Маркет/спам сигналы,Источник,Причина/Комментарий
OK,engagementgroupsforinstagram,https://t.me/engagementgroupsforinstagram,"instagram, insta",engagement,-,-,https://t.me/engagementgroupsforinstagram,Подходит: Instagram-only + взаимная активность + чистый кандидат
OK,engagementgroupsIG,https://t.me/engagementgroupsIG,ig,engagement,-,-,https://t.me/engagementgroupsIG,Подходит: Instagram-only + взаимная активность + чистый кандидат
OK,igmasslikes,https://t.me/igmasslikes,ig,likes,-,-,https://t.me/igmasslikes,Подходит: Instagram-only + взаимная активность + чистый кандидат
OK,NsmIGGroup,https://t.me/NsmIGGroup,ig,-,-,-,https://t.me/NsmIGGroup,Подходит: Instagram-only + взаимная активность + чистый кандидат
NO,apocmarket,https://t.me/apocmarket,-,-,-,market,https://t.me/apocmarket,не Instagram-only; нет явной взаимной активности; маркет/спам маркеры: market
NO,beaversmarketplace,https://t.me/beaversmarketplace,-,-,-,market,https://t.me/beaversmarketplace,не Instagram-only; нет явной взаимной активности; маркет/спам маркеры: market
NO,boostuppowerlikes,https://t.me/boostuppowerlikes,-,likes,-,boost,https://t.me/boostuppowerlikes,не Instagram-only; нет явной взаимной активности; маркет/спам маркеры: boost
NO,elite_chat,https://t.me/elite_chat,-,-,-,-,https://t.me/elite_chat,не Instagram-only; нет явной взаимной активности
NO,elitemarket,https://t.me/elitemarket,-,-,-,market,https://t.me/elitemarket,не Instagram-only; нет явной взаимной активности; маркет/спам маркеры: market
NO,engagementgroups,https://t.me/engagementgroups,-,engagement,-,-,https://t.me/engagementgroups,не Instagram-only
NO,igbst,https://t.me/igbst,ig,-,-,-,https://t.me/igbst,нет явной взаимной активности
NO,iggainzgrowthlist,https://t.me/iggainzgrowthlist,ig,-,-,-,https://t.me/iggainzgrowthlist,нет явной взаимной активности
NO,instaempiremarket,https://t.me/instaempiremarket,insta,-,-,market,https://t.me/instaempiremarket,нет явной взаимной активности; маркет/спам маркеры: market
NO,instagains100k,https://t.me/instagains100k,insta,-,-,-,https://t.me/instagains100k,нет явной взаимной активности
NO,instagains20k,https://t.me/instagains20k,insta,-,-,-,https://t.me/instagains20k,нет явной взаимной активности
NO,instagains50k,https://t.me/instagains50k,insta,-,-,-,https://t.me/instagains50k,нет явной взаимной активности
NO,instagramventuresmarket,https://t.me/instagramventuresmarket,"instagram, insta",-,-,market,https://t.me/instagramventuresmarket,нет явной взаимной активности; маркет/спам маркеры: market
NO,lorule,https://t.me/lorule,-,"взаим, лайк, коммент",-,"smm, подписчик, услуг, купить",https://dtf.ru/pro-smm/4762864-vzaimnyj-piar-telegram-kanalov,"не Instagram-only; нет явной взаимной активности; маркет/спам маркеры: smm, подписчик, услуг, купить"
NO,MoneyMartOG,https://t.me/MoneyMartOG,-,-,-,-,https://t.me/MoneyMartOG,не Instagram-only; нет явной взаимной активности
NO,PUSHGROUPDX5,https://t.me/PUSHGROUPDX5,-,dx,-,-,https://t.me/PUSHGROUPDX5,не Instagram-only
NO,sendpulsee,https://t.me/sendpulsee,"instagram, инстаграм, инста, insta",взаим,"tiktok, youtube, facebook","market, подписчик",https://sendpulse.com/ru/blog/mutual-pr-on-instagram,"не Instagram-only; нет явной взаимной активности; маркет/спам маркеры: market, подписчик"
NO,successed,https://t.me/successed,-,-,-,-,https://t.me/successed,не Instagram-only; нет явной взаимной активности
NO,twcommunity,https://t.me/twcommunity,"instagram, insta","взаим, актив, лайк, коммент",-,"premium, smm, накрут, подписчик, услуг",https://timeweb.com/ru/community/articles/nakrutka-kommentariev-v-instagram-luchshie-servisy-po-rabote-s-kommentariyami-v-instagram,"нет явной взаимной активности; маркет/спам маркеры: premium, smm, накрут, подписчик, услуг"
NO,VGNCHAT,https://t.me/VGNCHAT,-,-,-,-,https://t.me/VGNCHAT,не Instagram-only; нет явной взаимной активности
NO,VGNLIKES,https://t.me/VGNLIKES,-,likes,-,-,https://t.me/VGNLIKES,не Instagram-only
