url;platform;kind;source_count;matched_instagram_terms;matched_mutual_terms;matched_service_terms;is_instagram_related;is_mutual_related;is_relevant;confidence;source_pages
https://t.me/apkpurechannel;telegram;community;2;instagram, инстаграм, инста, insta, ig;взаим, лайк, коммент, сохран;;True;True;True;high;https://apkpure.net/ru/instagram-app/com.instagram.android | https://apkpure.net/ru/instagram-app/com.instagram.android/download
https://t.me/apphunter_ru;telegram;community;2;instagram, инстаграм, инста, insta, ig;взаим, лайк, коммент, сохран;;True;True;True;high;https://apkpure.net/ru/instagram-app/com.instagram.android | https://apkpure.net/ru/instagram-app/com.instagram.android/download
https://telegram.me/share/url;telegram;community;2;instagram, инстаграм, инста, insta, ig;взаим, лайк, коммент, сохран;;True;True;True;high;https://apkpure.net/ru/instagram-app/com.instagram.android | https://apkpure.net/ru/instagram-app/com.instagram.android/download
https://discord.gg/9B9pePxnZr;discord;community;1;инстаграм, инста, insta, ig;взаим;service, premium;True;True;True;medium;https://www.thebricks.com/resources/guide-how-much-is-power-bi-per-month
https://t.me/chatgptchatapp;telegram;community;1;instagram, insta;взаим;bot;True;True;True;medium;https://chatbotchatapp.com/ru
https://t.me/dnative/711;telegram;community;1;instagram, инстаграм, инста, insta;взаим, лайк, коммент;;True;True;True;medium;https://ru.ruwiki.ru/wiki/Instagram
https://t.me/dnative/711\;telegram;community;1;instagram, инстаграм, инста, insta;взаим, лайк, коммент;;True;True;True;medium;https://ru.ruwiki.ru/wiki/Instagram
https://t.me/iMeLime\u003cbr\u003eНовости:;telegram;community;1;instagram, инстаграм, инста, insta;взаим, engagement, pod, like for like, comment for comment, лайк;;True;True;True;medium;https://play.google.com/store/apps/details?id=com.instagram.android&hl=ru
https://t.me/iMeMessenger\u003cbr\u003eОбсуждения:;telegram;community;1;instagram, инстаграм, инста, insta;взаим, engagement, pod, like for like, comment for comment, лайк;;True;True;True;medium;https://play.google.com/store/apps/details?id=com.instagram.android&hl=ru
https://t.me/iMe_ai\u003cbr\u003eГруппа;telegram;community;1;instagram, инстаграм, инста, insta;взаим, engagement, pod, like for like, comment for comment, лайк;;True;True;True;medium;https://play.google.com/store/apps/details?id=com.instagram.android&hl=ru
https://t.me/iklife;telegram;community;1;instagram, инстаграм, инста, insta;взаим, лайк;;True;True;True;medium;https://iklife.ru/socialnye-seti/instagram/chto-takoe-instagram-i-zachem-on-nuzhen
https://t.me/ime_ru;telegram;community;1;instagram, инстаграм, инста, insta;взаим, engagement, pod, like for like, comment for comment, лайк;;True;True;True;medium;https://play.google.com/store/apps/details?id=com.instagram.android&hl=ru
https://t.me/ruwikiofficial;telegram;community;1;instagram, инстаграм, инста, insta;взаим, лайк, коммент;;True;True;True;medium;https://ru.ruwiki.ru/wiki/Instagram
https://t.me/yandex360blog;telegram;community;1;instagram, insta;взаим;сервис;True;True;True;medium;https://360.yandex.ru/telemost/
